subject,relation,object,subject_type,object_type
Complications,include,esophagitis,NOUN_CHUNK,NOUN_CHUNK
Medications,include,antihistamines,NOUN_CHUNK,NOUN_CHUNK
GERD,causes,injury,NOUN_CHUNK,NOUN_CHUNK
Esophageal adenocarcinoma,causes,injury,NOUN_CHUNK,NOUN_CHUNK
complications,include,aspiration pneumonia,NOUN_CHUNK,NOUN_CHUNK
up to 35%,have,difficulties,PERCENT,NOUN_CHUNK
children,outgrow,reflux,NOUN_CHUNK,NOUN_CHUNK
double blind study,found,clinically significant difference,NOUN_CHUNK,NOUN_CHUNK
investigations,include,esophagogastroduodenoscopy,NOUN_CHUNK,NOUN_CHUNK
LPR,produces,heartburn,ORG,NOUN_CHUNK
treatments,include,food choices,NOUN_CHUNK,NOUN_CHUNK
Adverse responses,include,difficulty,NOUN_CHUNK,NOUN_CHUNK
20%,have,symptoms,PERCENT,NOUN_CHUNK
data,support,sex predominance,NOUN_CHUNK,NOUN_CHUNK
Stedman Medical Dictionary Online,defines,abdominal angina,NOUN_CHUNK,NOUN_CHUNK
people,receiving,chemotherapy,NOUN_CHUNK,NOUN_CHUNK
The Duodenum,receives,particles,PERSON,NOUN_CHUNK
Crohn disease,affects,large small intestine,NOUN_CHUNK,NOUN_CHUNK
kidneys,filter,blood,NOUN_CHUNK,NOUN_CHUNK
Complicated urinary tract infections,include,renal perirenal abscess,NOUN_CHUNK,NOUN_CHUNK
kidney,filters,blood,NOUN_CHUNK,NOUN_CHUNK
Achalasia,affects,person,ORG,NOUN_CHUNK
people,experience,coughing,NOUN_CHUNK,NOUN_CHUNK
studies,suggest,hereditary neurodegenerative genetic infective contributions,NOUN_CHUNK,NOUN_CHUNK
probe,measures,muscle contractions,NOUN_CHUNK,NOUN_CHUNK
Manometry,reveals,failure,NOUN_CHUNK,NOUN_CHUNK
Sublingual nifedipine,improves,outcomes,NOUN_CHUNK,NOUN_CHUNK
recent randomized controlled trial,found,pneumatic dilation,NOUN_CHUNK,NOUN_CHUNK
Pneumatic dilatation,has,better long term effectiveness,NOUN_CHUNK,NOUN_CHUNK
Heller myotomy,helps,90%,NOUN_CHUNK,PERCENT
Recent understanding,shed,light,NOUN_CHUNK,NOUN_CHUNK
Laparoscopic myotomy,cuts,muscle,NOUN_CHUNK,NOUN_CHUNK
Recent robotic laparoscopic series,attempted,myotomy,NOUN_CHUNK,NOUN_CHUNK
robotic lateral esophageal myotomy,had,best results,NOUN_CHUNK,NOUN_CHUNK
Patients,spend,about 1–4 days,NOUN_CHUNK,DATE
Disease,affects,adults,NOUN_CHUNK,NOUN_CHUNK
Ménétrier disease,causing,excess protein loss,NOUN_CHUNK,NOUN_CHUNK
treatment,has,known effect,NOUN_CHUNK,NOUN_CHUNK
Bacterial overgrowth,cause,false positive H. pylori test results,NOUN_CHUNK,NOUN_CHUNK
Digestion,involves,breakdown,NOUN_CHUNK,NOUN_CHUNK
process,has,stages,NOUN_CHUNK,NOUN_CHUNK
Saliva,contains,digestive enzymes,NOUN_CHUNK,NOUN_CHUNK
gastric phase,takes,place,NOUN_CHUNK,NOUN_CHUNK
components,include,mouth,NOUN_CHUNK,NOUN_CHUNK
detection,enables,control,NOUN_CHUNK,NOUN_CHUNK
Muscles,push,food,NOUN_CHUNK,NOUN_CHUNK
The pharynx,joins,esophagus,ORG,NOUN_CHUNK
length,averages,25 cm,NOUN_CHUNK,QUANTITY
muscular diaphragm,separates,thoracic cavity,NOUN_CHUNK,NOUN_CHUNK
suspensory muscle,attaches,ascending duodenum,NOUN_CHUNK,NOUN_CHUNK
attachment,thought to,wider angle,NOUN_CHUNK,NOUN_CHUNK
esophagus,enters,abdomen,NOUN_CHUNK,NOUN_CHUNK
pancreatic enzymes,break down,protective glycoprotein,NOUN_CHUNK,NOUN_CHUNK
liver,synthesise,glucose,NOUN_CHUNK,NOUN_CHUNK
liver,synthesises,bulk,NOUN_CHUNK,NOUN_CHUNK
breaking,creates,larger surface area,NOUN_CHUNK,NOUN_CHUNK
Lipase,digests,triglycerides,NOUN_CHUNK,NOUN_CHUNK
Hydrogen ions,keep,bile,NOUN_CHUNK,NOUN_CHUNK
pancreas,secretes,phospholipase A2,NOUN_CHUNK,NOUN_CHUNK
lower gastrointestinal tract,includes,small intestine,NOUN_CHUNK,NOUN_CHUNK
cecum,marks,division,NOUN_CHUNK,NOUN_CHUNK
large intestine,includes,rectum,NOUN_CHUNK,NOUN_CHUNK
mucus component,lubricates,walls,NOUN_CHUNK,NOUN_CHUNK
food digestion,takes,place,NOUN_CHUNK,NOUN_CHUNK
colipase,secreted,fat content,NOUN_CHUNK,NOUN_CHUNK
suspensory muscle,marks,end,NOUN_CHUNK,NOUN_CHUNK
cecum,receives,chyme,NOUN_CHUNK,NOUN_CHUNK
wall,has,outer layer,NOUN_CHUNK,NOUN_CHUNK
celiac artery,supplies,liver,NOUN_CHUNK,NOUN_CHUNK
enveloped portions,form,basis,NOUN_CHUNK,NOUN_CHUNK
Mouth diseases,include,tongue diseases,NOUN_CHUNK,NOUN_CHUNK
Malabsorption,have,causes,NOUN_CHUNK,NOUN_CHUNK
Inflammatory mediators,play,important role,NOUN_CHUNK,NOUN_CHUNK
liver,has,central role,NOUN_CHUNK,NOUN_CHUNK
Thrombocytopenia,increases,risk,GPE,NOUN_CHUNK
blood urea,represent,degree,NOUN_CHUNK,NOUN_CHUNK
About 60%,fulfil,criteria,PERCENT,NOUN_CHUNK
Impaired host defence mechanism,increases,risk,NOUN_CHUNK,NOUN_CHUNK
Early clinical manifestations,include,hypodynamia,NOUN_CHUNK,NOUN_CHUNK
majority,experienced,vaginal deliveries,NOUN_CHUNK,NOUN_CHUNK
patients,have,immediate measurement,NOUN_CHUNK,NOUN_CHUNK
scheme,defines,acute hepatic failure,NOUN_CHUNK,NOUN_CHUNK
scheme,defines,hyperacute,NOUN_CHUNK,NOUN_CHUNK
ALF,managed in,rapid deterioration,ORG,NOUN_CHUNK
possibility,makes,early consultation,NOUN_CHUNK,NOUN_CHUNK
Stimulation,cause,elevations,NOUN_CHUNK,NOUN_CHUNK
positive end expiratory pressure,worsen,cerebral edema,NOUN_CHUNK,NOUN_CHUNK
advent,changed,survival,NOUN_CHUNK,NOUN_CHUNK
series,reported,death rates,NOUN_CHUNK,NOUN_CHUNK
advent,improved,survival,NOUN_CHUNK,NOUN_CHUNK
Aschoff sinuses,called,entrapped epithelial crypts,NOUN_CHUNK,NOUN_CHUNK
Magnetic resonance imaging,plays,important role,NOUN_CHUNK,NOUN_CHUNK
distortion,prevent,ovum,NOUN_CHUNK,NOUN_CHUNK
Surgical humidification therapy,minimise,incidence,NOUN_CHUNK,NOUN_CHUNK
Adhesions,obscure,visibility,NOUN_CHUNK,NOUN_CHUNK
long term use,cause,adhesion formation,NOUN_CHUNK,NOUN_CHUNK
splints,advised,grip strength,NOUN_CHUNK,NOUN_CHUNK
Filmy adhesions,pose,problems,NOUN_CHUNK,NOUN_CHUNK
Lipase activation,produces,necrosis,NOUN_CHUNK,NOUN_CHUNK
Elevated serum amylase lipase levels,trigger,initial diagnosis,NOUN_CHUNK,NOUN_CHUNK
Serum lipase,rises,4 to 8 hours,NOUN_CHUNK,TIME
Reasons,include,salivary gland disease,NOUN_CHUNK,NOUN_CHUNK
individual studies,support,superiority,NOUN_CHUNK,NOUN_CHUNK
Additional utility,includes,indication,NOUN_CHUNK,NOUN_CHUNK
cardiovascular,Aggressive hydration at,aggressive fluid replacement,NOUN_CHUNK,NOUN_CHUNK
Adequate pain control,requires,use,NOUN_CHUNK,NOUN_CHUNK
fentanyl,depress,respiratory function,NOUN_CHUNK,NOUN_CHUNK
morphine,favored over,increase,NOUN_CHUNK,NOUN_CHUNK
Approximately 20%,have,relapse,PERCENT,NOUN_CHUNK
Up to 20 percent,develop,infection,PERCENT,NOUN_CHUNK
Surgical options,left,flank,NOUN_CHUNK,NOUN_CHUNK
Immediate assessment,include,clinical evaluation,NOUN_CHUNK,NOUN_CHUNK
numerical CTSI,has,maximum points,NOUN_CHUNK,NOUN_CHUNK
blood,glucose,10 mmol L.BISAP score,NOUN_CHUNK,NOUN_CHUNK
study,showed,lower incidence,NOUN_CHUNK,NOUN_CHUNK
consumption,plays,important social role,NOUN_CHUNK,NOUN_CHUNK
Wine,involves,longer fermentation process,NOUN_CHUNK,NOUN_CHUNK
Freeze distillation,concentrates,ethanol,NOUN_CHUNK,NOUN_CHUNK
Rectified spirit,lacks,flavoring,NOUN_CHUNK,NOUN_CHUNK
substances,include,small amounts,NOUN_CHUNK,NOUN_CHUNK
alcoholic drinks,contain,carbohydrates,NOUN_CHUNK,NOUN_CHUNK
males,Females on,1.7 drinks,NOUN_CHUNK,NOUN_CHUNK
Digestifs,include,brandy,NOUN_CHUNK,NOUN_CHUNK
brands,have,fruit,NOUN_CHUNK,NOUN_CHUNK
Fortified wines,contain,20 % alcohol,NOUN_CHUNK,NOUN_CHUNK
shape,have,significant effect,NOUN_CHUNK,NOUN_CHUNK
Practice,reduced,tendency,NOUN_CHUNK,NOUN_CHUNK
standard drink,contains,0.6 US fluid ounces,NOUN_CHUNK,QUANTITY
Alcohol laws,regulate,manufacture,NOUN_CHUNK,NOUN_CHUNK
Alcohol laws,prohibit,drunk driving,NOUN_CHUNK,NOUN_CHUNK
Signs,include,jaundice,NOUN_CHUNK,NOUN_CHUNK
alcoholics,develop,acute hepatitis,NOUN_CHUNK,NOUN_CHUNK
Patients,develop,liver cancer,NOUN_CHUNK,NOUN_CHUNK
liver enzymes,exceed,500,NOUN_CHUNK,CARDINAL
Liver biopsy,confirms,diagnosis,NOUN_CHUNK,NOUN_CHUNK
Clinical practice guidelines,recommended,corticosteroids,NOUN_CHUNK,NOUN_CHUNK
large prospective study,investigated,prednisolone pentoxifylline produced benefits,NOUN_CHUNK,NOUN_CHUNK
Pentoxifylline,improve,survival,NOUN_CHUNK,NOUN_CHUNK
lesser,explain,phenomenon,NOUN_CHUNK,NOUN_CHUNK
concomitant hepatitis C infection,accelerates,process,NOUN_CHUNK,NOUN_CHUNK
Polymorphisms,explain,genetic component,NOUN_CHUNK,NOUN_CHUNK
factors,cause,inflammation,NOUN_CHUNK,NOUN_CHUNK
Alcoholism,causes,development,NOUN_CHUNK,NOUN_CHUNK
higher NADH concentration,induces,fatty acid synthesis,NOUN_CHUNK,NOUN_CHUNK
Between 10% and 35%,develop,alcoholic hepatitis,PERCENT,NOUN_CHUNK
Kupffer cells,stimulating,release,NOUN_CHUNK,NOUN_CHUNK
TNF α,triggers,apoptotic pathways,NOUN_CHUNK,NOUN_CHUNK
Between 10% to 20%,develop,cirrhosis,PERCENT,NOUN_CHUNK
2E1 and the formation of acetaldehyde-protein adducts,and/or,cell membrane,CARDINAL,NOUN_CHUNK
Symptoms,include,jaundice,NOUN_CHUNK,NOUN_CHUNK
Late complications,include,portal hypertension,NOUN_CHUNK,NOUN_CHUNK
laboratory findings,include,red blood cell macrocytosis,NOUN_CHUNK,NOUN_CHUNK
magnitude,reflects,severity,NOUN_CHUNK,NOUN_CHUNK
Histologic features,include,Mallory bodies,NOUN_CHUNK,NOUN_CHUNK
review,claimed,benefit,NOUN_CHUNK,NOUN_CHUNK
Evidence,support,supplemental nutrition,NOUN_CHUNK,NOUN_CHUNK
only 10%,have,normalization,PERCENT,NOUN_CHUNK
biofilm,have,high resistance,NOUN_CHUNK,NOUN_CHUNK
Sodium alginate,has,wide use,NOUN_CHUNK,NOUN_CHUNK
Dental impression material,uses,alginate,NOUN_CHUNK,NOUN_CHUNK
Alginates,have,variations,NOUN_CHUNK,NOUN_CHUNK
diseases,include,hay fever,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,red eyes,NOUN_CHUNK,NOUN_CHUNK
Common allergens,include,pollen certain foods,NOUN_CHUNK,NOUN_CHUNK
Metals,cause,problems,NOUN_CHUNK,NOUN_CHUNK
Treatments,include,avoidance,NOUN_CHUNK,NOUN_CHUNK
about 1–18%,have,asthma,PERCENT,NOUN_CHUNK
allergic rhinitis,causes,irritation,NOUN_CHUNK,NOUN_CHUNK
Symptoms,include,abdominal pain,NOUN_CHUNK,NOUN_CHUNK
Food allergies,cause,respiratory asthmatic reactions,NOUN_CHUNK,NOUN_CHUNK
Insect stings,affected,systemic allergic response,NOUN_CHUNK,NOUN_CHUNK
Skin allergies,cause,rashes,NOUN_CHUNK,NOUN_CHUNK
large local reaction,occur,area,NOUN_CHUNK,NOUN_CHUNK
wide variety,cause,allergic reactions,NOUN_CHUNK,NOUN_CHUNK
Egg allergies,affect,one to two percent,NOUN_CHUNK,PERCENT
Roughly 10%,have,reaction,PERCENT,NOUN_CHUNK
genetic modification,remove,allergens,NOUN_CHUNK,NOUN_CHUNK
Researchers,attribute,higher level,NOUN_CHUNK,NOUN_CHUNK
reaction,lasts,48–96 hours,NOUN_CHUNK,TIME
people,have,perioral itching local urticaria,NOUN_CHUNK,NOUN_CHUNK
food induced allergies,have,systemic responses,NOUN_CHUNK,NOUN_CHUNK
resulting dermatological response,includes,redness,NOUN_CHUNK,NOUN_CHUNK
Approximately 25 percent,have,strong allergic response,PERCENT,NOUN_CHUNK
Epidemiological data,support,hygiene hypothesis,NOUN_CHUNK,NOUN_CHUNK
Chronic stress,aggravate,allergic conditions,NOUN_CHUNK,NOUN_CHUNK
Stress management,improve,symptoms,NOUN_CHUNK,NOUN_CHUNK
Cytokines,play,role,NOUN_CHUNK,NOUN_CHUNK
early accurate diagnoses,referrals to,cost,NOUN_CHUNK,NOUN_CHUNK
Allergy,undergoes,dynamic changes,NOUN_CHUNK,NOUN_CHUNK
Common areas,include,inside forearm,NOUN_CHUNK,NOUN_CHUNK
Adults,get,allergy blood test,NOUN_CHUNK,NOUN_CHUNK
test,measures,concentration,NOUN_CHUNK,NOUN_CHUNK
mother diet,is,risk,NOUN_CHUNK,NOUN_CHUNK
allergy,improve,symptoms,NOUN_CHUNK,NOUN_CHUNK
evidence,supports,use,NOUN_CHUNK,NOUN_CHUNK
evidence,tried for,effectiveness,NOUN_CHUNK,NOUN_CHUNK
review,found,effectiveness,NOUN_CHUNK,NOUN_CHUNK
infections,speculated,effect,NOUN_CHUNK,NOUN_CHUNK
Important elements,include,exposure,NOUN_CHUNK,NOUN_CHUNK
newer methods,use,colorimetric fluorescence labeled technology,NOUN_CHUNK,NOUN_CHUNK
report,presented,case,NOUN_CHUNK,NOUN_CHUNK
the House of Lords,convened,subcommittee,ORG,NOUN_CHUNK
amoebicidal drugs,include,emetine,NOUN_CHUNK,NOUN_CHUNK
greater concentration,explains,high efficacy,NOUN_CHUNK,NOUN_CHUNK
